Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Method Name;Method Max Depth;Method Number Nested Methods;Method Parameter Names;Associated Class Name;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0;1,0;33,333;0,013;2,4;91,294;12,0;5,072;9,0;38,039;5,0;6,0;TestBed,configureTestingModule,service,ServiceToSkipService,inject;4,0;6,0;(),{},=,.;4,0;3,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,service,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-3>;0;0;;Not class;
ServiceToSkipService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;;ServiceToSkipService;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0;1,0;20,0;0,01;1,5;45,0;10,0;2,5;8,0;30,0;5,0;5,0;"should be created",beforeEach,service,it,FeatureConfigLoaderService;3,0;5,0;(),function=>,let;10,0;5,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,service,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0;1,0;33,333;0,013;2,4;91,294;12,0;5,072;9,0;38,039;5,0;6,0;TestBed,configureTestingModule,service,FeatureConfigLoaderService,inject;4,0;6,0;(),{},=,.;4,0;3,0;<anon method-2>;0;0;;Not class;
FeatureConfigLoaderService;0;10,0;76,923;0,145;16,595;7228,52;83,0;401,584;38,0;435,578;21,0;41,0;"focus",console,"!","method","service",log,"type","single",keyName,parseConfig,"include",functionalityMapping,call,entries,featureConfig,Object,"object",value,"implemented",key,"Applying functionalityMapping for Feature ";17,0;42,0;&&,||,!==,(),[],const,in,this,typeof (prefix),+,,,.,forof,else,continue,if,===;24,0;13,0;parseConfig;0;0;functionalityMapping,featureConfig,keyName;FeatureConfigLoaderService;
FeatureConfigLoaderService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;httpClient;FeatureConfigLoaderService;
FeatureConfigLoaderService;0;1,0;16,667;0,031;4,278;393,556;23,0;21,864;16,0;92,0;9,0;11,0;httpClient,console,null,data,subscribe,log,get,jsonObject,"/assets/featureConfig/featureConfig.json";7,0;12,0;(),this,function=>,let,=,.,return;9,0;6,0;getFeatureConfig;0;0;;FeatureConfigLoaderService;
FeatureConfigLoaderService;0;1,0;50,0;0,007;1,875;42,11;8,0;2,339;7,0;22,459;4,0;5,0;console,data,log,jsonObject;3,0;3,0;(),=,.;4,0;2,0;<anon method-1>;0;0;data;FeatureConfigLoaderService;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0;1,0;33,333;0,013;2,4;91,294;12,0;5,072;9,0;38,039;5,0;6,0;TestBed,configureTestingModule,service,MenuManagerService,inject;4,0;6,0;(),{},=,.;4,0;3,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0;1,0;20,0;0,01;1,5;45,0;10,0;2,5;8,0;30,0;5,0;5,0;"should be created",beforeEach,service,MenuManagerService,it;3,0;5,0;(),function=>,let;10,0;5,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,service,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-3>;0;0;;Not class;
MenuManagerService;0;3,0;25,0;0,085;6,667;1698,599;53,0;94,367;28,0;254,79;18,0;24,0;menuConfig,aop,serviceArguments,createHook,constructor,unAop,"include",createdHook,hookName,aroundMethod,args,3,null,menuManageHook,"applyToMe",PuzzleControllerManagerService,true,"APPLY";10,0;29,0;(),[],{},else,this,function=>,:,if,=,.;18,0;12,0;initializeBringToBack;0;0;menuConfig;MenuManagerService;
MenuManagerService;0;1,0;25,0;0,042;6,0;750,587;30,0;41,699;18,0;125,098;10,0;15,0;args,0,1,2,3,context,getArguments,callArguemnts,serviceContext,PuzzleControllerManagerService2;8,0;15,0;(),new,[],const,this,=,.,return;5,0;4,0;<anon method-2>;0;0;args;MenuManagerService;
MenuManagerService;0;1,0;25,0;0,042;6,0;750,587;30,0;41,699;18,0;125,098;10,0;15,0;args,0,1,2,3,context,getArguments,callArguemnts,serviceContext,PuzzleControllerManagerService2;8,0;15,0;(),new,[],const,this,=,.,return;5,0;4,0;<anon method-4>;0;0;args;MenuManagerService;
MenuManagerService;0;3,0;25,0;0,085;6,667;1698,599;53,0;94,367;28,0;254,79;18,0;24,0;menuConfig,aop,serviceArguments,createHook,constructor,unAop,"include",createdHook,hookName,aroundMethod,args,2,null,menuManageHook,"applyToMe",PuzzleControllerManagerService,true,"APPLY";10,0;29,0;(),[],{},else,this,function=>,:,if,=,.;18,0;12,0;initializeBringToFront;0;0;menuConfig;MenuManagerService;
